title,popularity,genres,rating,language
Lucca's World,101,Drama,7.3,es
Wonka,100,"Comedy, Family, Fantasy",7.093,en
The Order,100,"Crime, Drama, Thriller",6.643,en
Kill 'em All 2,100,"Action, Crime, Thriller",6.7,en
The Hunger Games: Mockingjay - Part 1,99,"Science Fiction, Adventure, Thriller",6.813,en
Mad Max: Fury Road,99,"Action, Adventure, Science Fiction",7.6,en
No salgas,99,"Thriller, Horror",8.8,es
Miss Italia Mustn't Die,99,Documentary,8,it
The Suicide Squad,98,"Action, Comedy, Adventure",7.5,en
The Witch: Part 2. The Other One,98,"Action, Mystery, Thriller, Science Fiction",7.285,ko
The Little Mermaid,98,"Adventure, Family, Fantasy, Romance",6.3,en
The Legend of Condor Hero: What is Love,98,"Action, Fantasy, Adventure",5.1,zh
Hotel Desire,97,"Drama, Romance",6,de
The Twilight Saga: Breaking Dawn - Part 2,97,"Adventure, Fantasy, Drama, Romance",6.461,en
Whiplash,97,"Drama, Music",8.4,en
Mom's Friend,97,Drama,6.7,ko
Aquaman and the Lost Kingdom,97,"Action, Adventure, Fantasy",6.618,en
Love Hurts,97,"Action, Comedy, Romance",6,en
Presence,97,"Horror, Drama",6.1,en
The Karate Kid,96,"Action, Adventure, Drama, Family",6.5,en
Captain America: The Winter Soldier,96,"Action, Adventure, Science Fiction",7.7,en
Gone Girl,96,"Mystery, Thriller, Drama",7.89,en
Avengers: Age of Ultron,96,"Action, Adventure, Science Fiction",7.272,en
September 5,96,"Thriller, Drama, History",6.996,en
The Apprentice,96,"History, Drama",6.8,en
Iron Man 2,95,"Adventure, Action, Science Fiction",6.8,en
Thriller Night,95,"Animation, Music, Horror, Comedy",6.9,en
Grown Ups 2,95,Comedy,6.138,en
Spider-Man: Homecoming,95,"Action, Adventure, Science Fiction, Drama",7.3,en
Black Panther,95,"Action, Adventure, Science Fiction",7.375,en
The Shadow Strays,95,"Action, Crime, Thriller",7.2,id
The Convert,95,"Action, Drama",6.1,en
World War Z,94,"Action, Horror, Science Fiction, Thriller",6.8,en
Den of Thieves,94,"Action, Crime, Thriller, Drama",6.833,en
You Should Have Left,94,"Horror, Thriller",6,en
The Flash,94,"Adventure, Action, Science Fiction",6.67,en
Sumala,94,"Horror, Thriller",7.7,id
Grown Ups,93,Comedy,6.394,en
Snowpiercer,93,"Action, Science Fiction, Drama",6.903,ko
Your Name.,93,"Animation, Romance, Drama",8.5,ja
